"year","region_id","name","ons_code","road_category_id","total_link_length_km","total_link_length_miles","pedal_cycles","two_wheeled_motor_vehicles","cars_and_taxis","buses_and_coaches","lgvs","all_hgvs","all_motor_vehicles"
1993,1,"South West","E12000009",1,301.339,187.24,0,13987757.1233993,2684992185.63589,27945610.7581723,309953773.090153,428960858.585859,3465840186.43621
1993,1,"South West","E12000009",3,993.586,617.39,3579807.67318858,29525831.0218325,2837006544.90277,20617028.4289748,320438945.930764,277121864.560964,3484710217.33079
1993,1,"South West","E12000009",4,3874.924,2407.77,38663251.6105941,101862902.524258,6487076817.63501,79240334.5711048,752491841.396246,373331783.012209,7794003676.03197
1993,1,"South West","E12000009",5,3290.2,2044.44,24358993.478088,35915876.2825101,1955830450.171,27873468.9413823,272317167.740396,71779557.3848723,2363716520.52016
1993,1,"South West","E12000009",6,40291.5,25035.98,161350836.117076,108633704.167661,5709405198.63994,89344478.2470373,696509882.287441,144397344.508073,6748290607.85015
1993,2,"East Midlands","E12000004",1,178.609,110.98,0,8393286.33281635,1988311357.29838,22677444.349996,273561402.658475,443718028.588046,2736661521.09182
1993,2,"East Midlands","E12000004",3,1219.231,757.6,5849126.72492643,30663650.5308995,3757477376.49626,25530058.8314245,492765764.808518,630265835.023463,4936702685.69057
1993,2,"East Midlands","E12000004",4,2571.21,1597.68,27402388.7994114,49136680.5356717,4503987983.30251,49273255.4382407,580747435.60109,352576983.54112,5535722337.79726
1993,2,"East Midlands","E12000004",5,2010,1248.96,13579446.0351547,18002366.1815,1235699142.01066,15478977.7698242,174953894.257536,64228654.6568043,1508363034.87632
1993,2,"East Midlands","E12000004",6,24702.7,15349.55,152875333.054959,66638332.1403006,4714706116.28092,77111543.5854609,560190984.649646,156346933.905989,5574993910.56232
1993,3,"Scotland","S92000003",1,335.263,208.32,0,6084983.07384872,1907586876.39187,23375146.0222302,233416866.126819,315004577.641573,2485468449.87771
1993,3,"Scotland","S92000003",3,2820.302,1752.45,5037888.72981786,27888354.5096636,4025143564.08574,45904058.423805,484011500.959397,469978096.665474,5052925579.61505
1993,3,"Scotland","S92000003",4,7405.483,4601.55,25920381.845025,38949267.5276386,5382980543.62523,113288980.479003,649859713.025929,329353485.64384,6514431984.08793
1993,3,"Scotland","S92000003",5,7352.1,4568.38,16230836.9124314,17296488.5071184,1802663694.02688,38999120.1383918,295921816.591108,85429839.7359421,2240310958.99944
1993,3,"Scotland","S92000003",6,40619.5,25239.79,100100413.584666,36215377.1971685,4559233451.64241,112692500.795355,567823908.37509,140159592.977014,5416124830.98703
1993,4,"Wales","W92000004",1,130.291,80.96,0,4584684.81567645,999355124.821045,10616511.4481428,122835511.860733,169198013.600573,1306589845.9248
1993,4,"Wales","W92000004",3,1509.635,938.04,3091291.23419232,17907581.598465,2488212900.4116,24497498.9809512,340170616.723336,253154931.45033,3123943526.05782
1993,4,"Wales","W92000004",4,2581.176,1603.87,12769476.2586495,27265526.2019804,3375389997.4151,47264837.1013282,384715596.541199,176294658.568957,4010930613.34308
1993,4,"Wales","W92000004",5,2990.5,1858.21,8657564.82144277,11642632.0289509,1045939836.35568,20513327.1693311,162215163.445478,43637034.7172512,1283947993.71669
1993,4,"Wales","W92000004",6,25331.9,15740.51,57196596.8742544,43250541.8356796,3369880522.74716,53395047.9201463,442805267.239322,92914877.117633,4002246256.85994
1993,5,"North West","E12000002",1,553.439,343.89,0,20402941.8197725,5387986431.11728,42759391.4041995,715590451.761712,1018216772.79687,7184955992.00668
1993,5,"North West","E12000002",2,38.642,24.01,0,1290482.33317426,246615962.77738,1857480.43923487,31782901.604629,18841779.0105782,300388606.164996
1993,5,"North West","E12000002",3,826.384,513.49,6180868.72663645,17677385.941104,2154695705.20659,18902178.1545773,270952560.794958,226900141.299809,2689127974.5039
1993,5,"North West","E12000002",4,3128.239,1943.8,52012943.1619343,67200446.8901614,7143521017.25921,134590057.812376,803939035.408216,348768761.681778,8498019317.18762
1993,5,"North West","E12000002",5,1939.9,1205.4,27668416.447944,22626610.5941303,1924719637.31806,40007605.583393,225883962.658077,60260578.2231767,2273498394.37684
1993,5,"North West","E12000002",6,29466,18309.32,165494760.598107,70043446.2737612,6872456106.33898,101686152.867255,753668575.518969,161381904.676688,7959236185.67566
1993,6,"London","E12000007",1,65.744,40.85,0,15257265.6933508,971757403.016384,10743223.9471487,135701661.049471,111810024.45717,1245269576.29941
1993,6,"London","E12000007",3,339.479,210.94,11566305.2771813,72573945.0359898,3207388511.09521,30864795.8422811,403757605.583393,198675702.025173,3913260557.71793
1993,6,"London","E12000007",4,1371.723,852.35,94286798.8447467,146853481.294242,5830708468.17088,135851523.353615,709638179.904359,212466344.672115,7035517999.25932
1993,6,"London","E12000007",5,511.4,317.77,20071532.2516504,36326602.640579,1228325330.07238,27093648.0951245,142153573.132904,30233436.7294997,1464132590.67048
1993,6,"London","E12000007",6,12062.1,7495.04,146176330.231448,87153523.4232085,4644337071.50243,68874647.0611628,537308990.495506,87692252.2468783,5425366484.72918
