PROPERTYADDRESS,PROPERTYCITY,PROPERTYZIP,MUNIDESC,SCHOOLDESC,NEIGHDESC,TAXDESC,OWNERDESC,CLASSDESC,USEDESC,LOTAREA,HOMESTEADFLAG,ABATEMENTFLAG,RECORDDATE,SALEDATE,SALEPRICE,SALEDESC,PREVSALEDATE,PREVSALEPRICE,COUNTYBUILDING,COUNTYLAND,COUNTYTOTAL,COUNTYEXEMPTBLDG,LOCALBUILDING,LOCALLAND,LOCALTOTAL,FAIRMARKETBUILDING,FAIRMARKETLAND,FAIRMARKETTOTAL,STYLEDESC,STORIES,YEARBLT,EXTFINISH_DESC,ROOFDESC,BASEMENTDESC,GRADE,GRADEDESC,CONDITION,CONDITIONDESC,CDUDESC,TOTALROOMS,BEDROOMS,FULLBATHS,HALFBATHS,HEATINGCOOLINGDESC,FIREPLACES,BSMTGARAGE
GRANT ST,PITTSBURGH,15219,1st Ward  - PITTSBURGH,City Of Pittsburgh,PITTSBURGH URBAN,10 - Exempt,CORPORATION,GOVERNMENT,MUNICIPAL GOVERNMENT,34128,,,,09-01-1915,0.0,LOVE&AFFECTION,,,22478200,4095200,26573400,0,22478200,4095200,26573400,22478200,4095200,26573400,,,,,,,,,,,,,,,,,,
FORT DUQUESNE BLVD,PITTSBURGH,15222,2nd Ward - PITTSBURGH,City Of Pittsburgh,PENNHOUSE & GATEWAY TOWER,20 - Taxable,REGULAR-ETUX OR ET VIR,RESIDENTIAL,CONDOMINIUM,0,,,09-19-2016,08-31-2016,110000.0,SALE NOT ANALYZ,11-14-2002,210000.0,83300,0,83300,0,83300,0,83300,83300,0,83300,CONDO HR,1.0,1964.0,Concrete Block,ROLL,None,B,GOOD,3.0,AVERAGE,AVERAGE,3.0,1.0,1.0,0.0,Central Heat with AC,0.0,0.0
FORT DUQUESNE BLVD,PITTSBURGH,15222,2nd Ward - PITTSBURGH,City Of Pittsburgh,PENNHOUSE & GATEWAY TOWER,20 - Taxable,REGULAR,RESIDENTIAL,CONDOMINIUM,0,,,02-23-2010,02-23-2010,130000.0,OTHER VALID,08-21-1998,63500.0,115700,0,115700,0,115700,0,115700,115700,0,115700,CONDO HR,1.0,1964.0,Concrete Block,ROLL,None,B,GOOD,3.0,AVERAGE,AVERAGE,4.0,1.0,1.0,0.0,Central Heat with AC,0.0,0.0
SMALLMAN ST,PITTSBURGH,15222,2nd Ward - PITTSBURGH,City Of Pittsburgh,STRIP LOFT,20 - Taxable,REGULAR,RESIDENTIAL,CONDOMINIUM,0,HOM,,12-30-2010,12-30-2010,315000.0,SALE NOT ANALYZ,,,269100,0,269100,0,287100,0,287100,287100,0,287100,CONDO,1.0,2010.0,Brick,SHINGLE,None,X,EXCELLENT,2.0,GOOD,GOOD,5.0,2.0,1.0,0.0,Central Heat with AC,,
SMALLMAN ST,PITTSBURGH,15222,2nd Ward - PITTSBURGH,City Of Pittsburgh,STRIP LOFT,20 - Taxable,REGULAR-ETUX OR ET VIR,RESIDENTIAL,CONDOMINIUM,0,,,01-21-2011,01-21-2011,235000.0,SALE NOT ANALYZ,,,215000,0,215000,0,215000,0,215000,215000,0,215000,CONDO,1.0,2010.0,Brick,ROLL,None,X,EXCELLENT,2.0,GOOD,GOOD,3.0,1.0,1.0,0.0,Central Heat with AC,,
SMALLMAN ST,PITTSBURGH,15222,2nd Ward - PITTSBURGH,City Of Pittsburgh,STRIP LOFT,20 - Taxable,REGULAR,RESIDENTIAL,CONDOMINIUM,0,HOM,,11-30-2016,11-17-2016,375000.0,OTHER VALID,10-26-2015,196091.0,341800,0,341800,0,359800,0,359800,359800,0,359800,CONDO,1.0,2010.0,Brick,ROLL,None,X,EXCELLENT,2.0,GOOD,GOOD,3.0,1.0,1.0,0.0,Central Heat with AC,,
SMALLMAN ST,PITTSBURGH,15222,2nd Ward - PITTSBURGH,City Of Pittsburgh,STRIP LOFT,20 - Taxable,REGULAR-ETUX OR ET VIR,RESIDENTIAL,CONDOMINIUM,0,,,11-12-2014,10-24-2014,257500.0,SALE NOT ANALYZ,03-04-2011,225000.0,210000,0,210000,0,210000,0,210000,210000,0,210000,CONDO,1.0,1865.0,Brick,ROLL,None,X,EXCELLENT,2.0,GOOD,GOOD,2.0,1.0,1.0,0.0,Central Heat with AC,,
6TH AVE,PITTSBURGH,15219,2nd Ward - PITTSBURGH,City Of Pittsburgh,PITTSBURGH URBAN,20 - Taxable,CORPORATION,COMMERCIAL,RETL/OFF OVER,4320,,,,12-26-1995,10.0,LOVE&AFFECTION,,,0,140400,140400,0,0,140400,140400,0,140400,140400,,,,,,,,,,,,,,,,,,
SMALLMAN ST,PITTSBURGH,15222,2nd Ward - PITTSBURGH,City Of Pittsburgh,STRIP LOFT,20 - Taxable,REGULAR-ETUX OR ET VIR,RESIDENTIAL,CONDOMINIUM,0,,,04-30-2013,04-30-2013,285000.0,OTHER VALID,02-07-2011,232000.0,256600,0,256600,0,256600,0,256600,256600,0,256600,CONDO,1.0,1865.0,Brick,ROLL,None,X,EXCELLENT,2.0,GOOD,GOOD,3.0,1.0,1.0,0.0,Central Heat with AC,,
SMALLMAN ST,PITTSBURGH,15222,2nd Ward - PITTSBURGH,City Of Pittsburgh,STRIP LOFT,20 - Taxable,REGULAR,RESIDENTIAL,CONDOMINIUM,0,HOM,,03-02-2011,03-02-2011,275766.0,SALE NOT ANALYZ,,,242000,0,242000,0,260000,0,260000,260000,0,260000,CONDO,1.0,2010.0,Brick,ROLL,None,X,EXCELLENT,2.0,GOOD,GOOD,3.0,1.0,1.0,0.0,Central Heat with AC,,
SMALLMAN ST,PITTSBURGH,15222,2nd Ward - PITTSBURGH,City Of Pittsburgh,STRIP LOFT,20 - Taxable,REGULAR,RESIDENTIAL,CONDOMINIUM,0,,,01-20-2011,01-20-2011,285000.0,SALE NOT ANALYZ,,,260000,0,260000,0,260000,0,260000,260000,0,260000,CONDO,1.0,1865.0,Brick,ROLL,None,X,EXCELLENT,2.0,GOOD,GOOD,3.0,1.0,1.0,0.0,Central Heat with AC,,
GRANT ST,PITTSBURGH,15219,2nd Ward - PITTSBURGH,City Of Pittsburgh,PITTSBURGH URBAN,20 - Taxable,CORPORATION,COMMERCIAL,OFFICE-ELEVATOR -3 + STORIES,11280,,,,08-02-2001,0.0,LOVE&AFFECTION,10-31-1991,3350000.0,8646400,1353600,10000000,0,8646400,1353600,10000000,8646400,1353600,10000000,,,,,,,,,,,,,,,,,,
LIBERTY AVE,PITTSBURGH,15222,2nd Ward - PITTSBURGH,City Of Pittsburgh,PITTSBURGH URBAN,20 - Taxable,CORPORATION,COMMERCIAL,OFFICE/WAREHOUSE,5508,,,,08-13-2002,925000.0,MULTI-PARCEL SA,05-05-1950,0.0,0,70000,70000,0,0,70000,70000,0,70000,70000,,,,,,,,,,,,,,,,,,
LIBERTY AVE,PITTSBURGH,15222,2nd Ward - PITTSBURGH,City Of Pittsburgh,KEYSTONE LOFTS,20 - Taxable,REGULAR-ETUX OR ET VIR,RESIDENTIAL,CONDOMINIUM,0,,,03-06-2009,03-06-2009,218647.0,OTHER VALID,,,230300,0,230300,0,230300,0,230300,230300,0,230300,CONDO HR,1.0,1876.0,Brick,ROLL,None,C+,AVERAGE +,2.0,GOOD,GOOD,4.0,1.0,1.0,0.0,Central Heat with AC,,
SMALLMAN ST,PITTSBURGH,15222,2nd Ward - PITTSBURGH,City Of Pittsburgh,STRIP LOFT,20 - Taxable,REGULAR,RESIDENTIAL,CONDOMINIUM,0,,,04-11-2011,04-11-2011,232000.0,SALE NOT ANALYZ,,,205000,0,205000,0,205000,0,205000,205000,0,205000,CONDO,1.0,1865.0,Brick,ROLL,None,X,EXCELLENT,2.0,GOOD,GOOD,2.0,1.0,1.0,0.0,Central Heat with AC,,
