company,species,REF,review_year,cocoa_p,company_location,rating,country
Akesson's (Pralus),"Bali (west), Sukrama Family, Melaya area",636,2011,0.75,Switzerland,3.75,Indonesia
Akesson's (Pralus),"Madagascar, Ambolikapiky P.",502,2010,0.75,Switzerland,2.75,Madagascar
Akesson's (Pralus),"Monte Alegre, D. Badero",508,2010,0.75,Switzerland,2.75,Brazil
Artisan du Chocolat,"Trinidad, Heritage, Limited ed.",1193,2013,0.72,U.K.,3.25,Trinidad
Artisan du Chocolat,"Colombia, Casa Luker",947,2012,0.72,U.K.,3.75,Colombia
Artisan du Chocolat,Haiti,729,2011,0.72,U.K.,4,Haiti
Artisan du Chocolat,Panama,745,2011,0.72,U.K.,2.75,Panama
Artisan du Chocolat,Venezuela,486,2010,1,U.K.,1.75,Venezuela
Artisan du Chocolat,Jamaica,531,2010,0.72,U.K.,3.75,Jamaica
Artisan du Chocolat,Costa Rica,600,2010,0.72,U.K.,3.25,Costa Rica
Artisan du Chocolat,Ba Ria Vung Tau Province,600,2010,0.72,U.K.,3.25,Vietnam
Artisan du Chocolat,Bali,600,2010,0.72,U.K.,3.5,Indonesia
Artisan du Chocolat,"Ocumare, Venezuela",355,2009,0.75,U.K.,2.5,Venezuela
Artisan du Chocolat,Java,355,2009,0.72,U.K.,2.75,Indonesia
Artisan du Chocolat,Brazil Rio Doce,363,2009,0.72,U.K.,1.75,Brazil
Artisan du Chocolat,Madagascar,363,2009,0.8,U.K.,3,Madagascar
Artisan du Chocolat,Peru,363,2009,0.75,U.K.,3,Peru
Artisan du Chocolat,Dominican Republic,363,2009,0.72,U.K.,3.25,Dominican Republic
Artisan du Chocolat,Congo,300,2008,0.72,U.K.,3.75,Congo
Artisan du Chocolat (Casa Luker),"Orinoqua Region, Arauca",1181,2013,0.72,U.K.,2.75,Colombia
Beau Cacao,"Asajaya E, NW Borneo, b. #132/4500",1948,2017,0.73,U.K.,3,Malaysia
Beau Cacao,"Serian E., NW Borneo, b. #134/3800",1948,2017,0.72,U.K.,3.25,Malaysia
Beschle (Felchlin),Madagascar,636,2011,0.64,Switzerland,3,Madagascar
Beschle (Felchlin),Maracaibo,636,2011,0.88,Switzerland,3,Venezuela
Beschle (Felchlin),"Indigena Amazonia, Grand Cru, Quizas",636,2011,0.72,Switzerland,3.5,Venezuela
Beschle (Felchlin),Ecuador,636,2011,0.72,Switzerland,4,Ecuador
Beschle (Felchlin),"Carenero S., Barlovento, Grand Cru",508,2010,0.7,Switzerland,3.25,Venezuela
Beschle (Felchlin),"Porcelana, Premier Cru, Quizas No. 1",508,2010,0.74,Switzerland,3.25,Venezuela
Beschle (Felchlin),"Java, Grand Cru",508,2010,0.64,Switzerland,3.5,Indonesia
